Kosi oblik	Osnovni oblik	Kategorije	Vrsta rijeèi
dva	dva		broj
ne	ne		èestica
zar	zar		èestica
daj	daj		glagol
dali	dati		glagol
dao	dati		glagol
donijeti	donijeti		glagol
izložiti	izložiti		glagol
krije	kriti		glagol
kriju	kriti		glagol
poèela	poèeti		glagol
poèinila	poèiniti		glagol
poèinili	poèiniti		glagol
poèinio	poèiniti		glagol
poènu	poèeti		glagol
poobarala	poobarati		glagol
pristane	pristati		glagol
promijeni	promijeniti		glagol
promijenio	promijeniti		glagol
propatile	propatiti		glagol
protjeruje	protjerivati		glagol
sazori	sazoriti		glagol
uèiniti	uèiniti		glagol
zaboravio	zaboraviti		glagol
zaboravite	zaboraviti		glagol
zaboraviti	zaboraviti		glagol
zavapimo	zavapiti		glagol
Alojzije	Alojzije	8	imenica
Basarièek	Basarièek	9	imenica
Berislaviæu	Berislaviæ	9	imenica
Bombardiroviæa	Bombardiroviæ	9	imenica
Bombardiroviæi	Bombardiroviæ	9	imenica
Borovèak	Borovèak	9	imenica
Bulešiæ	Bulešiæ	9	imenica
Buriæa	Buriæ	9	imenica
Charlie	Charlie	19	imenica
cug	cug		imenica
dan	dan		imenica
dana	dan		imenica
danu	dan		imenica
demgagogije	demgagogija		imenica
Dnjepra	Dnjepar	10	imenica
Donjecka	Donjeck	10	imenica
drugove	drug		imenica
drugovi	drug		imenica
gasmaska	gasmaska		imenica
gasmasku	gasmaska		imenica
geniju	genij		imenica
Herodu	Herod	68	imenica
horde	horda		imenica
Hrastovice	Hrastovica	10	imenica
Ivasiæ	Ivasiæ	9	imenica
Kièmanoviæ	Kièmanoviæ	9	imenica
Kièmanoviæi	Kièmanoviæ	9	imenica
kontraimperijalizma	kontraimperijalizam		imenica
kontrarevolucionare	kontrarevolucionar		imenica
Kordiæa	Kordiæ	9	imenica
kulturocid	kulturocid		imenica
Latinovicz	Latinovicz	9	imenica
Miliæeviæ	Miliæeviæ	9	imenica
Miliæeviæa	Miliæeviæ	9	imenica
muèenice	muèenica	25	imenica
neèitanju	neèitanje	67	imenica
negativizam	negativizam		imenica
neokomunizam	neokomunizam		imenica
neraskidivost	neraskidivost	67	imenica
oba	oba		imenica
Obama	Obama	23	imenica
Odesi	Odesa	10	imenica
odnosom	odnos		imenica
oligarsima	oligarh		imenica
petnaestogodišnjaku	petnaestogodišnjak		imenica
piromana	piroman		imenica
plamena	plamen		imenica
pohrvaæenja	pohrvaæenje		imenica
prebendari	prebendar		imenica
predziðe	predziðe		imenica
prekoraèitelja	prekoraèitelj		imenica
prisutnike	prisutnik		imenica
Pupaèiæa	Pupaèiæ	9	imenica
put	put		imenica
putu	put		imenica
Robin	Robin	19	imenica
Rudimira	Rudimir	8	imenica
skupu	skup		imenica
Slamniga	Slamnig	9	imenica
službenice	službenica	25	imenica
Sorkoèeviæa	Sorkoèeviæ	9	imenica
stanovima	stan		imenica
subraæe	subraæa		imenica
susestre	susestre		imenica
svednevice	svednevica		imenica
Taveliæ	Taveliæ	9	imenica
Udbe	Udba		imenica
Udbine	Udbina	10	imenica
Udbini	Udbina	10	imenica
urbanocid	urbanocid		imenica
vestu	vesta		imenica
Zrina	Zrin	10	imenica
žvaka	žvaka		imenica
bl	bl	14	kratica
fra	fra		kratica
npr	npr	14	kratica
st	st	14	kratica
sv	sv	14	kratica
blažene	blaženi		pridjev
bolesno	bolesni		pridjev
bratovu	bratov	29	pridjev
carinikov	carinikov	29	pridjev
carinjenih	carinjeni		pridjev
æirilièno	æirilièni		pridjev
dvadesetog	dvadeseti		pridjev
gospodinova	gospodinov	29	pridjev
institucionaliziranog	institucionalizirani		pridjev
izluðene	izluðeni		pridjev
izvjesnim	izvjesni		pridjev
jedan	jedan		pridjev
jedna	jedan		pridjev
jedni	jedan		pridjev
jednih	jedan		pridjev
jednim	jedan		pridjev
jedno	jedan		pridjev
jednog	jedan		pridjev
jednoj	jedan		pridjev
jednome	jedan		pridjev
krajnje	krajnji		pridjev
Kristove	Kristov	29	pridjev
Krležinoj	Krležin	31	pridjev
luganska	luganski	28	pridjev
mala	mali		pridjev
male	mali		pridjev
malim	mali		pridjev
malu	mali		pridjev
manjeg	manji		pridjev
materinjeg	materinji		pridjev
materinji	materinji		pridjev
minornu	minorni		pridjev
mladi	mladi		pridjev
mladih	mladi		pridjev
motorna	motorni		pridjev
muèenièke	muèenièki	37	pridjev
najbržem	najbrži	54	pridjev
najprogonjenija	najprogonjeniji	54	pridjev
najubijanija	najubijaniji	54	pridjev
nastavnikov	nastavnikov	29	pridjev
neocarinjenu	neocarinjen	67	pridjev
neproglašene	neproglašeni	67	pridjev
nepropuštenih	nepropušteni	67	pridjev
nestabilnija	nestabilniji	46 67	pridjev
nevina	nevini		pridjev
nevinim	nevini		pridjev
nevinu	nevini		pridjev
nikakav	nikakav		pridjev
nikakvu	nikakav		pridjev
opaki	opaki		pridjev
opæedruštveni	opæedruštveni		pridjev
osamdesetih	osamdeseti		pridjev
pjesnikovo	pjesnikov		pridjev
postapokaliptièke	postapokaliptièki		pridjev
postapokaliptièkih	postapokaliptièki		pridjev
postmoderno	postmoderni		pridjev
potjeranim	potjerani		pridjev
progonjenog	progonjeni		pridjev
Pupaèiæeva	Pupaèiæev	29	pridjev
Pupaèiæevu	Pupaèiæev	29	pridjev
Putinovi	Putinov	29	pridjev
rakovièkoj	rakovièki	37	pridjev
razoružanih	razoružani		pridjev
sam	sam		pridjev
sama	sam		pridjev
same	sam		pridjev
sami	sam		pridjev
samim	sam		pridjev
samima	sam		pridjev
samu	sam		pridjev
sekulariziranog	sekularizirani		pridjev
sineastièki	sineastièki	37	pridjev
širokobriješki	širokobriješki	28	pridjev
sjeverne	sjeverni		pridjev
sjevernog	sjeverni		pridjev
sjevernoga	sjeverni		pridjev
slobodni	slobodni		pridjev
svjesni	svjesni		pridjev
uznemirujuæa	uznemirujuæi		pridjev
violinistièkom	violinistièki	37	pridjev
vjernièkog	vjernièki	37	pridjev
iz	iz		prijedlog
na	na		prijedlog
osim	osim		prijedlog
poradi	poradi		prijedlog
direktno	direktno		prilog
malo	malo		prilog
puno	puno		prilog
tako	tako		prilog
ubijajuæi	ubijajuæi		prilog
ukljuèujuæi	ukljuèujuæi		prilog
zahtijevajuæi	zahtijevajuæi		prilog
zahvaljujuæi	zahvaljujuæi		prilog
zato	zato		prilog
w	w		slovo
aha	aha		uzvik
i	i		veznik
kad	kad		veznik
kada	kada		veznik
no	no		veznik
te	te		veznik
ikakve	ikakav		zamjenica
kakva	ikakav		zamjenica
kakve	ikakav		zamjenica
kakvog	kakav		zamjenica
kakvu	kakav		zamjenica
moja	moj	104	zamjenica
mojoj	moj	104	zamjenica
naš	naš	104	zamjenica
naša	naš	104	zamjenica
naše	naš	104	zamjenica
našeg	naš	104	zamjenica
našega	naš	104	zamjenica
naši	naš	104	zamjenica
naših	naš	104	zamjenica
našim	naš	104	zamjenica
našoj	naš	104	zamjenica
našu	naš	104	zamjenica
neke	neki		zamjenica
neki	neki		zamjenica
neko	neki		zamjenica
njegova	njegov	104	zamjenica
njegove	njegov	104	zamjenica
njegovo	njegov	104	zamjenica
njegovoj	njegov	104	zamjenica
njegovu	njegov	104	zamjenica
njen	njen	104	zamjenica
njezine	njezin	104	zamjenica
njezinu	njezin	104	zamjenica
njihov	njihov	104	zamjenica
njihova	njihov	104	zamjenica
njihove	njihov	104	zamjenica
njihovu	njihov	104	zamjenica
onaj	onaj		zamjenica
one	onaj		zamjenica
onih	onaj		zamjenica
onim	onaj		zamjenica
onima	onaj		zamjenica
onoga	onaj		zamjenica
onoj	onaj		zamjenica
onom	onaj		zamjenica
onu	onaj		zamjenica
ovaj	ovaj		zamjenica
ove	ove		zamjenica
ovim	ovaj		zamjenica
ovo	ovaj		zamjenica
ovog	ovaj		zamjenica
ovoga	ovaj		zamjenica
ovom	ovaj		zamjenica
ovu	ovaj		zamjenica
svog	svoj		zamjenica
svoga	svoj		zamjenica
svoj	svoj		zamjenica
svoje	svoj		zamjenica
svojega	svoj		zamjenica
svojih	svoj		zamjenica
svojim	svoj		zamjenica
svojoj	svoj		zamjenica
svojom	svoj		zamjenica
svoju	svoj		zamjenica
svom	svoj		zamjenica
svome	svoj		zamjenica
taj	taj		zamjenica
takav	takav		zamjenica
takvi	takav		zamjenica
takvih	takav		zamjenica
takvim	takav		zamjenica
takvog	takav		zamjenica
takvoj	takav		zamjenica
takvu	takav		zamjenica
tog	taj		zamjenica
tomu	taj		zamjenica
